date,open,high,low,close,volume,return,ticker
2024-01-02,78200,79800,78200,79600,17142847,1.4012738853503186,005930
2024-01-03,78500,78800,77000,77000,21753644,-3.2663316582914574,005930
2024-01-04,76100,77300,76100,76600,15324439,-0.5194805194805194,005930
2024-01-05,76700,77100,76400,76600,11304316,0.0,005930
2024-01-08,77000,77500,76400,76500,11088724,-0.13054830287206268,005930
2024-01-09,77400,77700,74300,74700,26019249,-2.3529411764705883,005930
2024-01-10,75000,75200,73200,73600,20259529,-1.4725568942436411,005930
2024-01-11,72900,73600,72700,73200,57691266,-0.5434782608695652,005930
2024-01-12,73000,74100,72800,73100,13038939,-0.1366120218579235,005930
2024-01-15,73200,74000,73200,73900,13212339,1.094391244870041,005930
2024-01-16,73500,73700,72500,72600,14760415,-1.7591339648173208,005930
2024-01-17,73100,73300,71000,71000,22683660,-2.203856749311295,005930
2024-01-18,71600,72000,70700,71700,17853397,0.9859154929577465,005930
2024-01-19,73500,74700,73000,74700,23363427,4.184100418410042,005930
2024-01-22,75900,76000,75000,75100,19673375,0.535475234270415,005930
2024-01-23,75700,75800,74300,75200,14786224,0.13315579227696406,005930
2024-01-24,75200,75200,73500,74000,12860661,-1.5957446808510638,005930
2024-01-25,74200,74800,73700,74100,11737747,0.13513513513513514,005930
2024-01-26,73700,74500,73300,73400,11160062,-0.9446693657219973,005930
2024-01-29,73800,75200,73500,74400,13976521,1.3623978201634876,005930
2024-01-30,75000,75300,73700,74300,12244418,-0.13440860215053765,005930
2024-01-31,73400,74000,72500,72700,15703560,-2.1534320323014806,005930
2024-02-01,73000,74200,72900,73600,19881033,1.2379642365887207,005930
2024-02-02,74000,75200,73700,75200,14955881,2.1739130434782608,005930
2024-02-05,74200,74800,73500,74300,19026021,-1.196808510638298,005930
2024-02-06,74300,74700,73300,74400,14559254,0.13458950201884254,005930
2024-02-07,74600,75500,74300,75000,16566445,0.8064516129032258,005930
2024-02-08,75000,75200,73600,74100,20810708,-1.2,005930
2024-02-13,74800,75200,74400,75200,21966745,1.484480431848853,005930
2024-02-14,73700,74300,73700,74000,12434945,-1.5957446808510638,005930
