ticker,name,market,listed_at,collected_at
0001A0,덕양에너젠,KOSDAQ,2026-01-30,2026-04-18 05:43:25.668419+00:00
000250,삼천당제약,KOSDAQ,2000-10-04,2026-04-18 05:43:25.668419+00:00
000440,중앙에너비스,KOSDAQ,1993-03-24,2026-04-18 05:43:25.668419+00:00
0004V0,엔비알모션,KOSDAQ,2026-01-14,2026-04-18 05:43:25.668419+00:00
0004Y0,디비금융제14호스팩,KOSDAQ,2025-07-22,2026-04-18 05:43:25.668419+00:00
0007C0,아크릴,KOSDAQ,2025-12-16,2026-04-18 05:43:25.668419+00:00
0007J0,인벤테라,KOSDAQ,2026-04-02,2026-04-18 05:43:25.668419+00:00
0008Z0,에스엔시스,KOSDAQ,2025-08-19,2026-04-18 05:43:25.668419+00:00
0009K0,에임드바이오,KOSDAQ,2025-12-04,2026-04-18 05:43:25.668419+00:00
001000,신라섬유,KOSDAQ,1994-06-28,2026-04-18 05:43:25.668419+00:00
0010F0,보원케미칼,KOSDAQ,2026-04-03,2026-04-18 05:43:25.668419+00:00
0010V0,제이피아이헬스케어,KOSDAQ,2025-08-21,2026-04-18 05:43:25.668419+00:00
0011A0,액스비스,KOSDAQ,2026-03-09,2026-04-18 05:43:25.668419+00:00
0013V0,삼진식품,KOSDAQ,2025-12-22,2026-04-18 05:43:25.668419+00:00
001540,안국약품,KOSDAQ,2000-06-15,2026-04-18 05:43:25.668419+00:00
0015G0,그린광학,KOSDAQ,2025-11-17,2026-04-18 05:43:25.668419+00:00
0015N0,아로마티카,KOSDAQ,2025-11-27,2026-04-18 05:43:25.668419+00:00
0015S0,페스카로,KOSDAQ,2025-12-10,2026-04-18 05:43:25.668419+00:00
001810,무림SP,KOSDAQ,2000-01-04,2026-04-18 05:43:25.668419+00:00
001840,이화공영,KOSDAQ,1994-11-23,2026-04-18 05:43:25.668419+00:00
002230,피에스텍,KOSDAQ,1991-01-04,2026-04-18 05:43:25.668419+00:00
002290,삼일기업공사,KOSDAQ,1992-11-30,2026-04-18 05:43:25.668419+00:00
002680,한탑,KOSDAQ,1995-07-07,2026-04-18 05:43:25.668419+00:00
002800,신신제약,KOSDAQ,2017-02-28,2026-04-18 05:43:25.668419+00:00
003100,선광,KOSDAQ,1999-12-21,2026-04-18 05:43:25.668419+00:00
003310,대주산업,KOSDAQ,1992-08-01,2026-04-18 05:43:25.668419+00:00
003380,하림지주,KOSDAQ,2017-06-30,2026-04-18 05:43:25.668419+00:00
0037T0,KB제32호스팩,KOSDAQ,2025-07-04,2026-04-18 05:43:25.668419+00:00
003800,에이스침대,KOSDAQ,1996-05-03,2026-04-18 05:43:25.668419+00:00
0041B0,교보18호스팩,KOSDAQ,2025-08-14,2026-04-18 05:43:25.668419+00:00
0041J0,엘에스스팩1호,KOSDAQ,2025-07-22,2026-04-18 05:43:25.668419+00:00
0041L0,하나35호스팩,KOSDAQ,2025-08-06,2026-04-18 05:43:25.668419+00:00
0044K0,삼성스팩10호,KOSDAQ,2025-08-21,2026-04-18 05:43:25.668419+00:00
004590,한국가구,KOSDAQ,1993-06-03,2026-04-18 05:43:25.668419+00:00
004650,창해에탄올,KOSDAQ,2014-07-30,2026-04-18 05:43:25.668419+00:00
